Date,Power [kW],Temperature [°C],Week Day,Hours,Month,Solar Radiation [W/m2],Power-1 [kW]
2017-01-02 06:00:00,109.7,10.4,0,6,1,1.7,96.4
2017-01-02 07:00:00,179.4,10.3,0,7,1,1.8,109.7
2017-01-02 08:00:00,278.7,10.1,0,8,1,18.5,179.4
2017-01-02 09:00:00,300.0,10.4,0,9,1,42.2,278.7
2017-01-02 10:00:00,329.4,10.9,0,10,1,51.6,300.0
2017-01-02 11:00:00,355.2,11.9,0,11,1,40.5,329.4
2017-01-02 12:00:00,373.9,12.6,0,12,1,50.6,355.2
2017-01-02 13:00:00,361.8,13.6,0,13,1,22.4,373.9
2017-01-02 14:00:00,354.1,13.7,0,14,1,16.7,361.8
2017-01-02 15:00:00,354.6,13.2,0,15,1,33.4,354.1
2017-01-02 16:00:00,347.6,13.1,0,16,1,6.4,354.6
2017-01-02 17:00:00,315.1,13.5,0,17,1,3.6,347.6
2017-01-02 18:00:00,268.7,13.9,0,18,1,2.6,315.1
2017-01-02 19:00:00,183.8,13.5,0,19,1,3.4,268.7
2017-01-02 20:00:00,160.7,13.4,0,20,1,1.8,183.8
2017-01-02 21:00:00,136.7,13.7,0,21,1,1.8,160.7
2017-01-02 22:00:00,133.2,13.8,0,22,1,1.6,136.7
2017-01-02 23:00:00,129.4,14.1,0,23,1,1.3,133.2
2017-01-03 00:00:00,128.5,14.4,1,0,1,2.3,129.4
2017-01-03 01:00:00,122.6,14.2,1,1,1,2.0,128.5
2017-01-03 02:00:00,121.5,13.5,1,2,1,1.8,122.6
2017-01-03 03:00:00,120.9,13.2,1,3,1,1.9,121.5
2017-01-03 04:00:00,119.6,14.4,1,4,1,1.1,120.9
2017-01-03 05:00:00,124.4,14.8,1,5,1,1.3,119.6
2017-01-03 06:00:00,135.9,14.9,1,6,1,1.0,124.4
2017-01-03 07:00:00,186.6,14.9,1,7,1,1.3,135.9
2017-01-03 08:00:00,288.9,15.0,1,8,1,38.6,186.6
2017-01-03 09:00:00,333.3,15.4,1,9,1,94.5,288.9
2017-01-03 10:00:00,371.8,15.6,1,10,1,144.0,333.3
2017-01-03 11:00:00,348.5,15.4,1,11,1,202.8,371.8
2017-01-03 12:00:00,347.6,16.3,1,12,1,296.6,348.5
2017-01-03 13:00:00,335.2,16.3,1,13,1,238.4,347.6
2017-01-03 14:00:00,341.1,16.3,1,14,1,148.1,335.2
2017-01-03 15:00:00,342.6,16.4,1,15,1,219.9,341.1
2017-01-03 16:00:00,336.0,15.5,1,16,1,45.7,342.6
2017-01-03 17:00:00,303.4,15.3,1,17,1,6.9,336.0
2017-01-03 18:00:00,251.3,15.2,1,18,1,0.8,303.4
2017-01-03 19:00:00,178.6,15.0,1,19,1,0.8,251.3
2017-01-03 20:00:00,145.5,14.9,1,20,1,1.0,178.6
2017-01-03 21:00:00,118.9,14.9,1,21,1,0.9,145.5
2017-01-03 22:00:00,111.3,15.0,1,22,1,0.9,118.9
2017-01-03 23:00:00,110.6,14.7,1,23,1,0.8,111.3
2017-01-04 00:00:00,107.4,14.0,2,0,1,0.6,110.6
2017-01-04 01:00:00,96.9,13.1,2,1,1,0.6,107.4
2017-01-04 02:00:00,95.8,12.8,2,2,1,0.5,96.9
2017-01-04 06:00:00,114.3,11.6,2,6,1,2.3,95.8
2017-01-04 07:00:00,187.4,11.5,2,7,1,3.3,114.3
2017-01-04 08:00:00,295.4,11.3,2,8,1,14.1,187.4
2017-01-04 09:00:00,327.8,11.5,2,9,1,73.1,295.4
2017-01-04 10:00:00,356.0,11.8,2,10,1,165.4,327.8
2017-01-04 11:00:00,362.9,12.3,2,11,1,261.0,356.0
2017-01-04 12:00:00,352.2,13.2,2,12,1,286.4,362.9
2017-01-04 13:00:00,352.8,14.2,2,13,1,339.7,352.2
2017-01-04 14:00:00,352.6,14.3,2,14,1,178.3,352.8
2017-01-04 15:00:00,352.9,14.0,2,15,1,70.0,352.6
2017-01-04 16:00:00,351.7,13.8,2,16,1,48.6,352.9
2017-01-04 17:00:00,314.3,13.7,2,17,1,4.8,351.7
2017-01-04 18:00:00,254.9,13.6,2,18,1,0.6,314.3
2017-01-04 19:00:00,182.3,13.5,2,19,1,0.6,254.9
2017-01-04 20:00:00,153.3,13.1,2,20,1,0.5,182.3
2017-01-04 21:00:00,129.5,12.9,2,21,1,0.7,153.3
2017-01-04 22:00:00,126.6,12.4,2,22,1,1.0,129.5
2017-01-04 23:00:00,127.0,12.1,2,23,1,1.6,126.6
2017-01-05 00:00:00,125.3,11.9,3,0,1,1.3,127.0
2017-01-05 01:00:00,116.5,11.8,3,1,1,2.0,125.3
2017-01-05 02:00:00,115.9,11.3,3,2,1,1.5,116.5
2017-01-05 03:00:00,114.5,10.8,3,3,1,1.4,115.9
2017-01-05 04:00:00,108.2,10.8,3,4,1,1.3,114.5
2017-01-05 05:00:00,100.1,10.3,3,5,1,1.2,108.2
2017-01-05 06:00:00,120.1,9.8,3,6,1,0.8,100.1
2017-01-05 07:00:00,195.8,9.2,3,7,1,1.4,120.1
2017-01-05 08:00:00,323.1,8.8,3,8,1,19.4,195.8
2017-01-05 09:00:00,351.9,8.8,3,9,1,65.7,323.1
2017-01-05 10:00:00,379.3,9.2,3,10,1,134.1,351.9
2017-01-05 11:00:00,368.4,9.6,3,11,1,202.0,379.3
2017-01-05 12:00:00,370.9,9.7,3,12,1,229.4,368.4
2017-01-05 13:00:00,366.4,10.3,3,13,1,350.8,370.9
2017-01-05 14:00:00,364.1,10.2,3,14,1,257.8,366.4
2017-01-05 15:00:00,369.2,10.1,3,15,1,128.7,364.1
2017-01-05 16:00:00,373.6,10.0,3,16,1,53.0,369.2
